Idade,Faixa idade,Gênero,UF,Nível de Ensino,Área de Formação,Situação atual de trabalho,Setor,Número de Funcionários,Gestor?,Cargo como Gestor,Cargo Atual,Senioridade,Faixa salarial,Experiência na área de dados,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Forma de trabalho,Forma de trabalho ideal,Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje,Atuaçao,Quais das fontes de dados listadas você já analisou ou processou no trabalho,Dados relacionais,Dados em bancos NoSQL,Imagens,Textos/Documentos,Vídeos,Áudios,Planilhas,Dados georeferenciados,"Entre as fontes de dados listadas, quais você utiliza na maior parte do tempo?",Dados relacionais,Dados em bancos NoSQL,Imagens,Textos/Documentos,Vídeos,Áudios,Planilhas,Dados georeferenciados,Quais das linguagens listadas abaixo você utiliza no trabalho?,SQL,R,Python,C/C++/C#,.NET,Java,Julia,SAS/Stata,Visual Basic/VBA,Scala,Matlab,PHP,Javascript,Não utilizo nenhuma linguagem,"Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?",SQL,R,Python,C/C++/C#,.NET,Java,Julia,SAS/Stata,Visual Basic/VBA,Scala,Matlab,PHP,Javascript,Não utilizo nenhuma linguagem,Quais dos bancos de dados/fontes de dados listados abaixo você utiliza no trabalho?,MySQL,Oracle,SQL SERVER,SAP,Amazon Aurora ou RDS,Amazon DynamoDB,CoachDB,Cassandra,MongoDB,MariaDB,Datomic,S3,PostgreSQL,ElasticSearch,DB2,Microsoft Access,SQLite,Sybase,Firebase,Vertica,Redis,Neo4J,Google BigQuery,Google Firestore,Amazon Redshift,Amazon Athena,Snowflake,Databricks,HBase,Presto,Splunk,SAP HANA,Hive,Firebird,Quais das opções de Cloud listadas abaixo você utiliza no trabalho?,AWS,Google Cloud,Azure,Oracle Cloud,IBM,Servidores On Premise/Não utilizamos Cloud,Cloud Própria
38,35-39,Masculino,CE,Pós-graduação,Química / Física,Empregado (CLT),Marketing,de 101 a 500,1,Supervisor/Coordenador,,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,4 - 10,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,35-39,Masculino,BA,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),Consultoria,de 1 a 5,1,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30-34,Masculino,SC,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,de 1001 a 3000,1,Supervisor/Coordenador,,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,de 2 a 3 anos,Modelo 100% presencial,Modelo 100% remoto,Ainda não temos pessoas atuando com dados na empresa,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,35-39,Feminino,SP,Pós-graduação,Outras,Empreendedor ou Empregado (CNPJ),Serviços,de 1001 a 3000,1,Gerente/Head/Diretor/VP,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,35-39,Masculino,SC,Pós-graduação,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Varejo,de 6 a 10,1,Gerente/Head/Diretor/VP,,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,de 4 a 5 anos,Modelo 100% presencial,Modelo 100% remoto,Ainda não temos pessoas atuando com dados na empresa,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,55+,Masculino,SP,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),Indústria,de 6 a 10,1,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,4 - 10,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22-24,Masculino,SC,Estudante de Graduação,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 6 a 10,1,Team Leader/Tech Leader,,,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,4 - 10,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,50-54,Masculino,SP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,1,Gerente/Head/Diretor/VP,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,35-39,Masculino,MG,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Setor Alimentício,de 101 a 500,1,Supervisor/Coordenador,,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Menos de 1 ano,Modelo 100% presencial,Modelo 100% presencial,1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,25-29,Masculino,SP,Pós-graduação,Outras Engenharias,Empregado (CLT),Telecomunicação,de 101 a 500,1,Gerente/Head/Diretor/VP,,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Ainda não temos pessoas atuando com dados na empresa,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,40-44,Masculino,SP,Mestrado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Telecomunicação,Acima de 3000,1,Gerente/Head/Diretor/VP,,,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo híbrido com dias fixos de trabalho presencial,Ainda não temos pessoas atuando com dados na empresa,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45-49,Masculino,GO,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 11 a 50,1,Gerente/Head/Diretor/VP,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
